model_id,num_model_parameters,vocabulary_size,max_sequence_length,commercially_licensed,merge,speed,rank,suc3,swerec,scala_sv,scandiqa_sv
"gpt-4-0613 (few-shot, val)",-1,100,8192,True,False,597,1.2,76.86,79.19,80.93,53.81
AI-Sweden-Models/roberta-large-1160k,355,50,512,True,False,14014,1.26,82.65,77.25,77.9,49.64
"meta-llama/Meta-Llama-3-70B (few-shot, val)",70554,128,8192,True,False,312,1.26,74.61,78.61,63.2,61.98
AI-Sweden-Models/roberta-large-1350k,355,50,512,True,False,5744,1.28,82.97,77.37,73.81,49.5
KBLab/megatron-bert-large-swedish-cased-165k,370,64,512,True,False,7138,1.33,81.05,78.0,76.79,45.71
KBLab/megatron-bert-large-swedish-cased-110k,370,64,512,True,False,7075,1.35,80.39,78.45,76.28,44.56
AI-Sweden-Models/bert-large-nordic-pile-1M-steps,369,64,512,True,False,6571,1.42,80.65,77.43,76.56,41.54
KB/bert-base-swedish-cased,125,50,512,True,False,16181,1.43,81.95,75.58,78.86,38.56
ltg/norbert3-large,354,50,508,True,False,5048,1.43,79.01,75.32,69.11,48.88
AI-Nordics/bert-large-swedish-cased,335,31,512,True,False,7199,1.44,78.61,77.47,72.87,43.11
KBLab/bert-base-swedish-cased,125,50,512,True,False,16164,1.44,81.23,75.73,78.6,38.56
google/rembert,576,250,256,True,False,11736,1.44,78.23,75.99,72.17,46.0
intfloat/multilingual-e5-large,560,250,512,True,False,6732,1.44,80.36,79.65,63.15,46.99
microsoft/mdeberta-v3-base,279,251,512,True,False,20637,1.44,78.84,75.24,72.3,44.74
"gpt-3.5-turbo-0613 (few-shot, val)",-1,100,4095,True,False,921,1.5,73.04,72.77,58.06,58.02
gpt-3.5-turbo-0613 (few-shot),-1,100,4096,True,False,837,1.51,71.43,77.5,55.99,55.46
sentence-transformers/use-cmlm-multilingual,471,501,512,True,False,30231,1.51,80.05,75.09,61.83,45.69
KBLab/megatron-bert-base-swedish-cased-600k,135,64,512,True,False,15726,1.52,78.91,76.09,70.08,41.14
danish-foundation-models/encoder-large-v1,355,50,512,True,False,6671,1.55,74.18,75.11,64.11,46.79
KBLab/megatron-bert-base-swedish-cased-125k,135,64,512,True,False,15763,1.57,79.29,75.85,70.43,37.56
NbAiLab/nb-roberta-base-scandi,278,250,512,True,False,15079,1.58,80.02,76.21,71.92,33.8
vesteinn/ScandiBERT-no-faroese,124,50,512,True,False,15436,1.58,79.08,72.53,73.01,36.92
KennethEnevoldsen/dfm-sentence-encoder-large-1,355,50,512,True,False,6245,1.6,71.65,74.92,63.43,46.2
NbAiLab/nb-roberta-base-scandi-1e4,278,250,512,True,False,15074,1.6,79.9,76.2,73.62,32.38
FacebookAI/xlm-roberta-large,560,250,512,True,False,17897,1.61,80.33,76.63,49.72,46.64
KBLab/bert-base-swedish-cased-new,135,64,512,True,False,15933,1.62,79.99,76.04,73.52,30.6
setu4993/LaBSE,471,501,512,True,False,25418,1.63,77.78,73.58,60.36,41.71
"meta-llama/Llama-2-70b-hf (few-shot, val)",68977,32,4096,True,False,1892,1.64,64.76,75.46,43.27,63.04
KennethEnevoldsen/dfm-sentence-encoder-large-2,355,50,512,True,False,6569,1.65,71.86,74.67,62.77,44.77
"152334H/miqu-1-70b-sf (few-shot, val)",68977,32,32764,True,False,2126,1.66,62.96,75.25,53.28,56.42
KennethEnevoldsen/dfm-sentence-encoder-medium-3,178,120,512,True,False,14050,1.66,81.35,71.16,63.89,37.18
"gpt-4o-2024-05-13 (few-shot, val)",-1,200,127874,True,False,916,1.67,76.66,75.79,31.86,57.96
vesteinn/FoBERT,124,50,512,True,False,15623,1.67,78.58,73.41,71.14,31.62
NbAiLab/nb-bert-base,178,120,512,True,False,14050,1.7,80.38,71.21,64.03,35.33
ltg/norbert3-base,124,50,508,True,False,11405,1.71,78.21,71.05,56.02,42.52
pere/roberta-debug-8,278,250,512,True,False,15103,1.72,74.48,74.58,69.07,31.66
intfloat/multilingual-e5-base,278,250,512,True,False,14965,1.73,79.02,76.06,50.19,40.65
pere/roberta-debug-32,278,250,512,True,False,14958,1.73,72.25,75.04,70.16,31.89
timpal0l/Llama-3-8B-flashback-v1 (few-shot),8030,128,8192,True,False,4807,1.77,59.03,81.13,33.06,58.21
flax-community/swe-roberta-wiki-oscar,125,50,512,True,False,15437,1.78,75.4,76.22,65.73,29.34
four-two-labs/orpo-llama-3-swe (few-shot),8030,128,8192,False,False,4974,1.78,60.93,79.74,26.02,59.84
meta-llama/Meta-Llama-3-8B (few-shot),8030,128,8192,True,False,4687,1.78,60.36,79.74,28.24,59.73
pere/roberta-base-exp-32,278,250,512,True,False,15081,1.79,79.75,74.73,53.55,32.2
pere/roberta-base-exp-8,278,250,512,True,False,15112,1.8,73.44,73.63,58.91,32.39
"timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot, val)",8030,128,8192,False,True,5018,1.83,65.33,74.99,32.65,55.71
timpal0l/sol (few-shot),10732,32,4096,False,False,3701,1.86,57.51,77.31,25.06,60.16
Nexusflow/Starling-LM-7B-beta (few-shot),7242,32,8192,False,False,5876,1.87,60.38,77.49,29.32,56.79
microsoft/infoxlm-large,560,250,512,True,False,6696,1.9,79.53,75.42,18.44,48.19
upstage/SOLAR-10.7B-v1.0 (few-shot),10732,32,4096,True,False,3780,1.9,59.65,77.48,16.94,62.65
Addedk/kbbert-distilled-cased,82,50,512,True,False,29698,1.91,80.12,71.28,51.58,28.16
cardiffnlp/twitter-xlm-roberta-base,278,250,512,True,False,34475,1.91,72.49,70.69,56.6,31.89
facebook/xlm-v-base,778,902,512,True,False,25396,1.91,68.39,73.43,45.09,38.04
"RJuro/munin-neuralbeagle-7b (few-shot, val)",7242,32,32768,False,True,2493,1.92,62.96,77.13,15.73,58.43
"merge-crew/da-sv-slerp (few-shot, val)",7242,32,32768,True,True,2467,1.92,46.57,76.53,33.43,59.87
"merge-crew/da-sv-task-arithmetic (few-shot, val)",7242,32,32768,True,True,2500,1.92,47.28,76.62,33.23,60.0
google-bert/bert-base-multilingual-cased,178,120,512,True,False,14083,1.93,76.29,61.78,47.74,41.17
pere/roberta-base-exp-32B,278,250,512,True,False,15103,1.93,77.97,73.27,47.19,31.07
"timpal0l/BeagleCatMunin (few-shot, val)",7242,32,32768,False,True,2495,1.93,50.53,77.37,27.84,59.98
"birgermoell/Rapid-Cycling (few-shot, val)",7242,32,32768,False,True,2346,1.95,53.66,77.72,16.22,59.75
"merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)",7242,32,32768,True,True,2443,1.95,46.61,76.38,34.16,58.77
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),7242,32,32768,True,False,5054,1.95,44.14,80.14,34.23,57.07
google/gemma-7b (few-shot),8538,256,8067,True,False,1378,1.96,43.68,77.72,36.25,58.62
timpal0l/njord-alpha (few-shot),7242,32,32768,True,False,5431,1.96,48.19,79.95,32.85,57.39
"birgermoell/Flashback-Bellman (few-shot, val)",7242,32,32768,False,True,2887,1.98,55.29,78.29,18.45,58.42
"meta-llama/Meta-Llama-3-70B-Instruct (few-shot, val)",70554,128,8192,True,False,1673,1.99,77.06,53.56,47.5,46.86
Geotrend/bert-base-25lang-cased,151,85,512,True,False,13908,2.0,75.62,62.5,38.18,40.96
Mabeck/Heidrun-Mistral-7B-chat (few-shot),7242,32,32768,False,False,5822,2.0,55.06,77.5,17.47,58.67
