model_id,num_model_parameters,vocabulary_size,max_sequence_length,speed,rank,dansk,angry_tweets,scala_da,scandiqa_da,norne_nb,norne_nn,norec,scala_nb,scala_nn,norquad,suc3,swerec,scala_sv,scandiqa_sv
AI-Sweden-Models/roberta-large-1160k,355.0,50,512,5741,6.38,74.16,51.2,73.87,49.34,92.01,87.17,60.11,72.85,65.56,60.38,82.65,77.25,77.9,49.64
AI-Sweden-Models/roberta-large-1350k,355.0,50,512,5744,6.79,75.22,49.94,72.59,48.97,92.49,87.22,58.77,76.3,64.11,60.69,82.97,77.37,73.81,49.5
ltg/norbert3-large,354.0,50,508,5048,7.08,73.62,48.29,71.55,48.59,93.12,89.39,64.62,77.97,76.3,66.03,79.01,75.32,69.11,48.88
"gpt-4-0613 (few-shot, val)",unknown,100,8192,1244,7.65,64.94,59.97,71.56,49.82,81.16,75.75,72.72,77.3,57.18,49.93,76.86,79.19,80.93,56.5
danish-foundation-models/encoder-large-v1,355.0,50,512,6671,10.25,74.6,51.42,76.11,47.42,88.66,84.59,55.59,71.43,53.3,57.38,74.18,75.11,64.11,46.79
google/rembert,576.0,250,256,3355,10.75,70.19,50.19,69.72,39.85,88.7,86.11,54.19,69.83,54.84,58.18,78.23,75.99,72.17,46.0
KennethEnevoldsen/dfm-sentence-encoder-large-1,355.0,50,512,6245,10.83,74.99,53.85,75.71,44.85,86.39,83.22,59.61,67.88,62.44,55.69,71.65,74.92,63.43,46.2
KennethEnevoldsen/dfm-sentence-encoder-large-2,355.0,50,512,6569,11.39,75.3,55.12,76.34,45.15,86.78,83.28,58.73,70.73,59.58,56.04,71.86,74.67,62.77,44.77
intfloat/multilingual-e5-large,560.0,250,512,6732,11.68,69.5,55.07,57.67,46.71,89.86,84.32,61.52,62.34,34.88,53.01,80.36,79.65,63.15,46.99
NbAiLab/nb-roberta-base-scandi,278.0,250,512,15079,11.75,73.28,52.08,67.99,32.39,92.24,87.58,59.98,70.18,70.81,44.27,80.02,76.21,71.92,33.8
microsoft/mdeberta-v3-base,279.0,251,512,9237,11.78,72.9,43.38,67.05,42.15,91.9,86.81,53.69,70.55,61.21,48.82,78.84,75.24,72.3,44.74
NbAiLab/nb-roberta-base-scandi-1e4,278.0,250,512,15074,12.44,72.16,51.7,62.03,29.95,92.09,86.85,59.84,73.33,71.06,43.67,79.9,76.2,73.62,32.38
ltg/norbert3-base,124.0,50,508,11405,12.83,73.26,43.94,51.62,40.7,92.36,88.49,59.73,74.4,68.85,57.67,78.21,71.05,56.02,42.52
xlm-roberta-large,560.0,250,512,6663,12.83,72.74,48.33,57.3,43.57,91.66,86.19,50.25,55.51,43.89,57.57,80.33,76.63,49.72,46.64
sentence-transformers/use-cmlm-multilingual,471.0,501,512,13305,13.4,69.17,48.03,55.31,42.34,90.08,86.04,56.35,59.38,46.54,55.05,80.05,75.09,61.83,45.69
vesteinn/ScandiBERT-no-faroese,124.0,50,512,15436,13.58,69.79,47.73,68.28,31.9,91.09,85.72,50.9,69.34,66.24,48.45,79.08,72.53,73.01,36.92
KennethEnevoldsen/dfm-sentence-encoder-medium-3,178.0,120,512,14050,13.67,71.21,47.55,68.72,38.33,91.17,87.3,59.1,74.32,72.94,34.06,81.35,71.16,63.89,37.18
NbAiLab/nb-bert-base,178.0,120,512,14050,13.99,70.36,46.32,66.41,36.42,93.01,88.43,60.84,73.89,72.1,33.01,80.38,71.21,64.03,35.33
vesteinn/FoBERT,124.0,50,512,15623,14.29,69.65,49.18,65.45,32.4,90.65,84.88,52.44,68.77,65.4,43.13,78.58,73.41,71.14,31.62
gpt-3.5-turbo-0613 (few-shot),unknown,100,4096,1344,14.5,59.4,51.8,54.22,56.55,74.92,75.34,57.64,49.93,34.22,44.39,71.43,77.5,55.99,55.46
"gpt-3.5-turbo-0613 (few-shot, val)",unknown,100,4095,1344,14.83,59.61,50.54,57.57,51.09,77.7,73.92,58.88,54.29,32.82,46.44,73.04,72.77,58.06,57.59
pere/roberta-debug-8,278.0,250,512,15103,14.95,71.34,49.77,64.31,31.86,91.16,84.75,55.25,68.03,66.9,41.65,74.48,74.58,69.07,31.66
setu4993/LaBSE,471.0,501,512,13386,15.25,71.24,46.5,52.92,40.08,90.58,85.21,54.26,59.44,49.3,46.42,77.78,73.58,60.36,41.71
pere/roberta-base-exp-8,278.0,250,512,15112,15.55,68.77,49.66,60.13,32.6,88.99,82.99,57.37,69.92,70.05,41.98,73.44,73.63,58.91,32.39
pere/roberta-base-exp-32,278.0,250,512,15081,15.92,71.9,51.33,44.45,32.51,91.66,87.74,57.43,63.31,62.79,41.05,79.75,74.73,53.55,32.2
pere/roberta-debug-32,278.0,250,512,14958,16.31,68.46,50.48,64.34,30.3,89.07,83.27,53.23,70.06,66.81,34.17,72.25,75.04,70.16,31.89
AI-Sweden-Models/bert-large-nordic-pile-1M-steps,369.0,64,512,6571,17.08,67.4,41.53,41.62,37.3,87.5,80.57,47.11,52.62,25.06,38.4,80.65,77.43,76.56,41.54
KBLab/megatron-bert-large-swedish-cased-165k,370.0,64,512,7138,18.98,58.5,41.02,27.1,39.99,85.99,79.47,39.53,27.39,23.56,39.01,81.05,78.0,76.79,45.71
pere/roberta-base-exp-32B,278.0,250,512,15103,19.16,71.81,47.83,54.99,29.92,90.6,86.76,52.19,54.98,58.33,29.17,77.97,73.27,47.19,31.07
vesteinn/DanskBERT,124.0,50,512,15749,19.35,72.55,52.86,75.2,37.65,86.82,79.91,47.84,51.99,30.57,36.75,72.33,67.77,33.79,32.71
AI-Nordics/bert-large-swedish-cased,335.0,31,512,7199,20.19,60.66,38.46,32.29,37.68,83.32,77.97,38.44,37.54,23.1,39.97,78.61,77.47,72.87,43.11
KBLab/megatron-bert-large-swedish-cased-110k,370.0,64,512,7075,20.39,60.18,39.2,26.68,39.34,84.03,77.98,39.15,21.39,17.1,35.32,80.39,78.45,76.28,44.56
ltg/norbert3-small,41.0,50,508,13515,20.61,67.89,39.34,50.9,34.82,90.02,86.52,51.36,67.29,56.67,48.63,74.22,63.8,37.77,31.45
microsoft/infoxlm-large,560.0,250,512,6696,21.13,74.42,37.94,15.26,44.25,91.9,86.59,30.56,9.79,6.36,60.47,79.53,75.42,18.44,48.19
"RJuro/munin-neuralbeagle-7b (few-shot, val)",7242.0,32,32768,2493,21.18,51.44,54.91,22.77,56.7,61.18,65.16,55.61,20.84,9.12,42.98,62.96,77.13,15.73,58.43
cardiffnlp/twitter-xlm-roberta-base,278.0,250,512,14837,21.84,70.1,45.3,51.74,22.01,87.7,81.41,48.34,55.3,37.46,24.49,72.49,70.69,56.6,31.89
"timpal0l/BeagleCatMunin (few-shot, val)",7242.0,32,32768,2495,21.91,47.62,54.73,21.8,57.39,54.04,62.21,54.74,14.51,5.38,42.71,50.53,77.37,27.84,59.92
"merge-crew/da-sv-slerp (few-shot, val)",7242.0,32,32768,2467,22.09,45.94,51.75,28.04,57.65,49.67,61.11,56.07,3.81,-1.29,44.98,46.57,76.53,33.43,59.87
"merge-crew/da-sv-task-arithmetic (few-shot, val)",7242.0,32,32768,2500,22.11,46.06,51.51,27.68,57.78,49.69,61.78,55.87,2.99,-1.29,44.62,47.28,76.62,33.23,60.0
"birgermoell/Flashback-Bellman (few-shot, val)",7242.0,32,32768,2887,22.16,47.71,48.21,19.55,58.27,56.44,66.56,53.24,11.96,2.5,42.02,55.29,78.29,18.45,60.18
KB/bert-base-swedish-cased,125.0,50,512,16181,22.26,61.74,33.28,33.15,28.67,85.91,79.67,38.7,39.13,24.13,19.04,81.95,75.58,78.86,38.56
"merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)",7242.0,32,32768,2443,22.45,45.61,53.73,17.08,56.67,48.24,61.5,49.4,24.12,13.2,47.93,46.61,76.38,34.16,58.77
